run_date,symbol,role,latest_date,rows,classification,passed_checks,total_checks,score_pct,failed_checks,reason,market_ok,trend_ok,setup_ok,signal_ok,enough_data,indicators_ok,price_ok,volume_ok,close_above_sma200,sma50_above_sma200,distance_sma50_ok,pullback_ok,bullish_turn_ok,close_upper_half,recent_low_near_ema20_or_sma50,recent_close_above_sma50,recent_correction_ok,qty_ok,risk_per_share_ok,close,ema20,sma50,sma200,atr14,avg_vol20,dist_sma50_pct,entry_stop,stop_loss,risk_per_share,target_2r,qty,max_allowed_open_price
2026-06-20,AAPL,candidate,2026-06-18,254,almost_valid,11,12,91.67,"[""bullish_turn_ok""]","Tiene tendencia y parte del setup, pero le falta alguna condición final.",True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,298.01,298.5762,288.6298,267.793,8.1636,52709745.0,0.0325,300.8706,294.8036,6.0669,313.0045,8.0,303.8793
2026-06-20,AMZN,candidate,2026-06-18,254,almost_valid,11,12,91.67,"[""pullback_ok""]","Tiene tendencia y parte del setup, pero le falta alguna condición final.",True,True,False,False,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,244.39,249.7557,257.1002,232.8037,8.2293,44118285.0,-0.0494,245.9757,235.1971,10.7787,267.533,4.0,248.4355
2026-06-20,BBVA.MC,candidate,2026-06-19,259,rejected,10,12,83.33,"[""distance_sma50_ok"", ""bullish_turn_ok""]",No cumple los filtros mínimos de tendencia/liquidez/precio.,True,False,False,False,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,21.34,20.1882,19.4676,18.2782,0.485,11548856.0,0.0962,21.6817,21.1815,0.5002,22.682,99.0,21.8985
2026-06-20,CABK.MC,candidate,2026-06-19,259,rejected,10,12,83.33,"[""distance_sma50_ok"", ""pullback_ok""]",No cumple los filtros mínimos de tendencia/liquidez/precio.,True,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,12.645,11.8186,11.1845,9.9068,0.2368,7420787.0,0.1306,12.6927,12.5113,0.1814,13.0554,275.0,12.8196
2026-06-20,FER.MC,candidate,2026-06-19,259,trend_only,10,12,83.33,"[""pullback_ok"", ""bullish_turn_ok""]","Cumple tendencia, pero todavía no hay retroceso/vela señal válida.",True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,60.32,58.6283,58.4925,55.7276,1.15,1054899.0,0.0312,60.6206,59.805,0.8156,62.2517,61.0,61.2268
2026-06-20,GOOGL,candidate,2026-06-18,254,almost_valid,11,12,91.67,"[""pullback_ok""]","Tiene tendencia y parte del setup, pero le falta alguna condición final.",True,True,False,False,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,368.03,369.4469,367.1934,310.7313,11.4626,32632520.0,0.0023,369.8495,357.5238,12.3257,394.501,4.0,373.548
2026-06-20,IBE.MC,candidate,2026-06-19,259,trend_only,10,12,83.33,"[""pullback_ok"", ""bullish_turn_ok""]","Cumple tendencia, pero todavía no hay retroceso/vela señal válida.",True,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,20.83,20.1662,19.8583,18.4711,0.3239,12396967.0,0.0489,20.9409,20.7176,0.2233,21.3875,223.0,21.1503
2026-06-20,ITX.MC,candidate,2026-06-19,259,almost_valid,11,12,91.67,"[""bullish_turn_ok""]","Tiene tendencia y parte del setup, pero le falta alguna condición final.",True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,55.74,54.5746,52.4964,50.9679,1.3886,2019965.0,0.0618,56.4564,55.5011,0.9553,58.3669,52.0,57.021
2026-06-20,IWM,candidate,2026-06-18,254,valid_signal,12,12,100.0,[],Cumple todos los filtros y genera señal operable.,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,295.59,287.7676,280.7449,256.7848,6.7541,29550005.0,0.0529,296.266,290.7446,5.5214,307.3087,9.0,299.2286
2026-06-20,META,candidate,2026-06-18,254,rejected,9,12,75.0,"[""close_above_sma200"", ""sma50_above_sma200"", ""pullback_ok""]",No cumple los filtros mínimos de tendencia/liquidez/precio.,True,False,False,False,True,True,True,True,False,False,True,False,True,True,False,False,True,True,True,577.22,593.9887,621.3661,653.6996,23.0114,19145095.0,-0.071,580.8002,560.7988,20.0014,620.8029,2.0,586.6082
